Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point017,2,0.044,-46.808,-32.905,116.649
Point017,3,0.139,-46.750,-32.853,116.813
Point017,4,0.045,-46.820,-32.874,116.648
Point017,5,0.050,-46.814,-32.899,116.642
Point017,6,0.013,-46.808,-32.878,116.681
Point017,7,0.042,-46.812,-32.902,116.651
Point017,8,0.022,-46.811,-32.897,116.672
Point017,9,0.018,-46.815,-32.887,116.677
Point017,10,0.112,-46.765,-32.878,116.794
Point018,1,0.037,-46.828,-32.999,126.725
Point018,2,0.013,-46.832,-33.044,126.742
Point018,3,0.005,-46.827,-33.038,126.733
Point018,4,0.006,-46.830,-33.030,126.733
Point018,5,0.020,-46.838,-33.054,126.729
Point018,6,0.003,-46.833,-33.037,126.735
Point018,7,0.007,-46.836,-33.041,126.733
Point018,8,0.012,-46.839,-33.044,126.727
Point018,9,0.008,-46.824,-33.033,126.733
Point019,1,0.006,-48.325,-7.989,117.073
Point019,2,0.005,-48.332,-7.984,117.071
Point019,3,0.005,-48.328,-7.984,117.069
Point019,4,0.030,-48.326,-8.012,117.063
Point019,5,0.016,-48.330,-7.973,117.063
Point019,6,0.021,-48.323,-7.967,117.086
Point019,7,0.021,-48.335,-7.981,117.094
Point020,1,0.030,-48.348,-8.123,127.066
Point020,2,0.018,-48.341,-8.084,127.094
Point020,3,0.015,-48.354,-8.100,127.075
Point020,4,0.018,-48.347,-8.112,127.072
Point020,5,0.017,-48.336,-8.098,127.099
Point020,6,0.016,-48.341,-8.109,127.098
Point020,7,0.009,-48.342,-8.092,127.089
Point020,8,0.015,-48.349,-8.099,127.071
Point020,9,0.027,-48.327,-8.082,127.097
Point021,1,0.091,-144.853,-25.174,332.764
Point021,2,0.030,-144.840,-25.266,332.785
Point021,3,0.039,-144.840,-25.242,332.789
Point021,4,0.037,-144.848,-25.258,332.789
Point021,5,0.051,-144.810,-25.305,332.772
Point021,6,0.069,-144.803,-25.324,332.746
Point021,7,0.061,-144.839,-25.274,332.696
Point021,8,0.051,-144.830,-25.258,332.705
Point022,1,0.021,-144.440,-16.830,338.241
Point022,2,0.110,-144.427,-16.942,338.191
Point022,3,0.077,-144.462,-16.804,338.302
Point022,4,0.064,-144.475,-16.876,338.291
Point022,5,0.023,-144.449,-16.832,338.222
Point022,6,0.070,-144.462,-16.856,338.171
Point022,7,0.051,-144.451,-16.823,338.194
Point022,8,0.073,-144.450,-16.809,338.301
Point023,1,0.062,-140.570,-30.364,340.410
Point023,2,0.042,-140.617,-30.372,340.403
Point023,3,0.025,-140.611,-30.348,340.423
Point023,4,0.040,-140.653,-30.349,340.391
Point023,5,0.037,-140.592,-30.345,340.423
Point023,6,0.076,-140.600,-30.396,340.376
Point023,7,0.097,-140.653,-30.240,340.429
Point023,8,0.118,-140.687,-30.232,340.419
Point024,1,0.121,-140.258,-21.880,345.868
Point024,2,0.086,-140.262,-21.951,345.869
Point024,3,0.100,-140.248,-22.040,345.717
Point024,4,0.107,-140.281,-21.939,345.684
Point024,5,0.087,-140.224,-21.958,345.862
Point024,6,0.111,-140.213,-22.047,345.845
Point024,7,0.024,-140.276,-21.967,345.806
Point024,8,0.175,-140.343,-21.965,345.630
Point025,1,0.026,-144.010,-34.850,347.653
Point025,2,0.005,-144.024,-34.838,347.639
Point025,3,0.014,-144.025,-34.847,347.639
Point025,4,0.012,-144.021,-34.832,347.651
Point025,5,0.028,-144.008,-34.856,347.645
Point025,6,0.047,-144.041,-34.790,347.629
Point025,7,0.025,-144.037,-34.820,347.622
Point025,8,0.007,-144.024,-34.834,347.632
Point026,1,0.036,-143.669,-26.450,353.137
Point026,2,0.012,-143.692,-26.414,353.120
Point026,3,0.025,-143.669,-26.442,353.111
Point026,4,0.043,-143.666,-26.462,353.116
Point026,5,0.038,-143.700,-26.390,353.128
Point026,6,0.042,-143.709,-26.390,353.111
Point026,7,0.026,-143.688,-26.399,353.106
Point026,8,0.015,-143.673,-26.430,353.110
Point027,1,0.022,-166.690,-39.783,356.917
Point027,2,0.002,-166.707,-39.771,356.910
Point027,3,0.010,-166.705,-39.762,356.919
Point027,4,0.018,-166.694,-39.778,356.921
Point027,5,0.008,-166.699,-39.770,356.908
Point027,6,0.015,-166.720,-39.772,356.917
Point027,7,0.041,-166.733,-39.744,356.893
Point027,8,0.010,-166.699,-39.771,356.904
Point028,1,0.015,-166.406,-31.440,362.330
Point028,2,0.047,-166.396,-31.469,362.317
Point028,3,0.013,-166.423,-31.420,362.333
Point028,4,0.022,-166.405,-31.446,362.337
Point028,5,0.052,-166.440,-31.383,362.323
Point028,6,0.016,-166.409,-31.412,362.331
Point028,7,0.016,-166.424,-31.416,362.325
Point028,8,0.009,-166.407,-31.432,362.330
Point029,1,0.011,-175.325,-37.839,354.326
Point029,2,0.017,-175.316,-37.842,354.331
Point029,3,0.033,-175.340,-37.832,354.294
Point029,4,0.023,-175.322,-37.836,354.301
Point029,5,0.017,-175.315,-37.858,354.319
Point029,6,0.041,-175.294,-37.866,354.335
Point029,7,0.039,-175.355,-37.862,354.344
